Data Set, Avg Accuracy, Unoptimized Accuracy, Selected Features
Bredel-2005, 0.900000, 0.900000, 292.000000
Alizadeh-2000-v2, 0.833333, 0.666667, 221.000000
Alizadeh-2000-v1, 1.000000, 0.875000, 105.000000
Armstrong-2002-v1, 0.857143, 0.857143, 91.000000
Chowdary-2006, 0.950000, 0.950000, 4.000000
Bittner-2000, 0.714286, 0.714286, 691.000000
Bhattacharjee-2001, 0.850000, 0.800000, 344.000000
Nutt-2003-v2, 0.600000, 0.600000, 85.000000
Liang-2005, 0.714286, 0.714286, 117.000000
Nutt-2003-v1, 0.700000, 0.800000, 349.000000
Pomeroy-2002-v1, 0.666667, 0.833333, 300.000000
Nutt-2003-v3, 1.000000, 1.000000, 85.000000
Pomeroy-2002-v2, 1.000000, 0.875000, 368.000000
Garber-2001, 0.615385, 0.692308, 1732.000000
Tomlins-2006-v2, 0.833333, 0.777778, 535.000000
West-2001, 0.777778, 0.777778, 298.000000
Yeoh-2002-v1, 1.000000, 0.938776, 262.000000
Chen-2002, 0.914286, 0.885714, 19.000000
Armstrong-2002-v2, 0.857143, 0.857143, 253.000000
Khan-2001_database, 1.000000, 1.000000, 89.000000
Lapointe-2004-v1, 0.769231, 0.769231, 541.000000
Gordon-2002, 0.972222, 0.944444, 135.000000
Alizadeh-2000-v3, 0.916667, 0.833333, 687.000000
Laiho-2007_database, 0.857143, 0.714286, 259.000000
Singh-2002, 0.750000, 0.900000, 80.000000
Tomlins-2006-v1, 0.850000, 0.900000, 1073.000000
Lapointe-2004-v2, 0.772727, 0.818182, 973.000000
Risinger-2003, 0.750000, 0.750000, 743.000000
Shipp-2002-v1, 0.800000, 0.733333, 295.000000
Dyrskjot-2003, 0.625000, 0.625000, 140.000000
Su-2001, 0.941176, 0.911765, 380.000000
Golub-1999-v2, 0.785714, 0.928571, 273.000000
Golub-1999-v1, 0.928571, 0.928571, 245.000000
Yeoh-2002-v2, 0.795918, 0.653061, 838.000000
Ramaswamy-2001_database, 0.710526, 0.736842, 402.000000
