Data Set, Avg Accuracy, Unoptimized Accuracy, Selected Features
Bredel-2005, 0.900000, 0.900000, 232.000000
Alizadeh-2000-v2, 1.000000, 0.666667, 241.000000
Pomeroy-2002-v1, 0.833333, 0.833333, 208.000000
Armstrong-2002-v2, 0.785714, 0.857143, 251.000000
Alizadeh-2000-v3, 0.833333, 0.833333, 510.000000
Nutt-2003-v3, 1.000000, 1.000000, 85.000000
Bhattacharjee-2001, 0.925000, 0.925000, 336.000000
Golub-1999-v2, 0.928571, 0.857143, 291.000000
Pomeroy-2002-v2, 0.875000, 0.875000, 557.000000
Golub-1999-v1, 1.000000, 1.000000, 305.000000
Bittner-2000, 0.428571, 0.714286, 747.000000
Nutt-2003-v2, 0.800000, 1.000000, 106.000000
Liang-2005, 0.857143, 0.714286, 377.000000
Nutt-2003-v1, 0.800000, 0.600000, 410.000000
West-2001, 0.555556, 0.666667, 297.000000
Singh-2002, 0.850000, 0.800000, 87.000000
Yeoh-2002-v1, 0.979592, 0.836735, 272.000000
Shipp-2002-v1, 0.933333, 0.933333, 306.000000
Garber-2001, 0.769231, 0.846154, 1727.000000
Tomlins-2006-v2, 0.833333, 0.777778, 518.000000
Alizadeh-2000-v1, 1.000000, 1.000000, 158.000000
Armstrong-2002-v1, 0.857143, 0.857143, 107.000000
Chowdary-2006, 0.950000, 0.950000, 19.000000
Lapointe-2004-v1, 0.846154, 0.769231, 499.000000
Laiho-2007_database, 0.857143, 0.857143, 289.000000
Dyrskjot-2003, 0.875000, 0.750000, 152.000000
Risinger-2003, 0.750000, 0.625000, 713.000000
Lapointe-2004-v2, 0.727273, 0.818182, 757.000000
Tomlins-2006-v1, 0.900000, 0.700000, 839.000000
Su-2001, 0.911765, 0.911765, 393.000000
Chen-2002, 0.857143, 0.857143, 9.000000
Khan-2001_database, 0.812500, 1.000000, 92.000000
Gordon-2002, 0.972222, 0.972222, 133.000000
Yeoh-2002-v2, 0.734694, 0.673469, 825.000000
Ramaswamy-2001_database, 0.657895, 0.657895, 475.000000
