Data Set, Avg Accuracy, Unoptimized Accuracy, Selected Features
Alizadeh-2000-v2, 0.916667, 1.000000, 184.000000
Alizadeh-2000-v1, 0.875000, 0.875000, 170.000000
Armstrong-2002-v1, 0.928571, 0.928571, 129.000000
Bredel-2005, 0.900000, 0.900000, 288.000000
Chowdary-2006, 0.950000, 0.950000, 4.000000
Armstrong-2002-v2, 0.785714, 0.785714, 282.000000
Khan-2001_database, 1.000000, 1.000000, 96.000000
Alizadeh-2000-v3, 0.916667, 0.916667, 563.000000
Bhattacharjee-2001, 0.950000, 0.875000, 289.000000
Pomeroy-2002-v1, 0.833333, 0.833333, 155.000000
Gordon-2002, 0.944444, 0.972222, 124.000000
Nutt-2003-v3, 1.000000, 0.750000, 69.000000
Liang-2005, 0.714286, 0.714286, 237.000000
Golub-1999-v2, 0.928571, 0.785714, 372.000000
Garber-2001, 0.615385, 0.615385, 1360.000000
Golub-1999-v1, 0.857143, 0.857143, 275.000000
Risinger-2003, 0.375000, 0.375000, 610.000000
Dyrskjot-2003, 0.750000, 0.750000, 329.000000
Yeoh-2002-v2, 0.632653, 0.755102, 898.000000
Pomeroy-2002-v2, 0.500000, 0.375000, 396.000000
Yeoh-2002-v1, 0.979592, 0.897959, 266.000000
Bittner-2000, 0.714286, 0.714286, 718.000000
Chen-2002, 0.914286, 0.914286, 16.000000
Nutt-2003-v2, 0.800000, 0.600000, 101.000000
Nutt-2003-v1, 0.500000, 0.600000, 307.000000
