Data Set, Avg Accuracy, Unoptimized Accuracy, Selected Features
Alizadeh-2000-v2, 1.000000, 0.916667, 1039.000000
Alizadeh-2000-v1, 0.625000, 0.625000, 544.000000
Armstrong-2002-v1, 0.857143, 0.928571, 538.000000
Chowdary-2006, 0.950000, 0.950000, 89.000000
Bredel-2005, 0.900000, 0.900000, 837.000000
Armstrong-2002-v2, 0.857143, 0.857143, 1063.000000
Alizadeh-2000-v3, 0.666667, 0.833333, 1034.000000
Chen-2002, 0.914286, 0.571429, 31.000000
Bhattacharjee-2001, 0.725000, 0.725000, 586.000000
Garber-2001, 0.461538, 0.230769, 1707.000000
Pomeroy-2002-v1, 0.833333, 0.833333, 416.000000
Lapointe-2004-v1, 0.692308, 0.692308, 636.000000
Nutt-2003-v3, 1.000000, 0.750000, 578.000000
Dyrskjot-2003, 0.750000, 0.625000, 529.000000
Liang-2005, 0.571429, 0.857143, 692.000000
Golub-1999-v2, 0.714286, 0.785714, 888.000000
Ramaswamy-2001_database, 0.552632, 0.500000, 466.000000
West-2001, 0.777778, 0.777778, 597.000000
Laiho-2007_database, 0.857143, 0.857143, 1071.000000
Pomeroy-2002-v2, 0.500000, 0.375000, 635.000000
Golub-1999-v1, 0.928571, 0.928571, 859.000000
Tomlins-2006-v1, 0.800000, 0.750000, 970.000000
Su-2001, 0.911765, 0.147059, 627.000000
Bittner-2000, 0.714286, 0.571429, 771.000000
Nutt-2003-v2, 0.600000, 0.400000, 502.000000
Nutt-2003-v1, 0.300000, 0.700000, 640.000000
Khan-2001_database, 0.875000, 0.875000, 515.000000
Shipp-2002-v1, 0.866667, 0.733333, 294.000000
Tomlins-2006-v2, 0.555556, 0.666667, 569.000000
Lapointe-2004-v2, 0.772727, 0.863636, 995.000000
Gordon-2002, 0.972222, 0.972222, 809.000000
Risinger-2003, 0.375000, 0.625000, 811.000000
Yeoh-2002-v2, 0.571429, 0.591837, 869.000000
Yeoh-2002-v1, 0.836735, 0.836735, 1305.000000
Singh-2002, 0.750000, 0.800000, 137.000000
