Data Set, Avg Accuracy, Unoptimized Accuracy, Selected Features
Bredel-2005, 0.900000, 0.900000, 202.000000
Alizadeh-2000-v2, 1.000000, 1.000000, 197.000000
Alizadeh-2000-v1, 0.750000, 0.750000, 109.000000
Armstrong-2002-v1, 0.928571, 0.928571, 103.000000
Bittner-2000, 0.714286, 0.571429, 365.000000
Chowdary-2006, 0.900000, 0.950000, 3.000000
Armstrong-2002-v2, 0.928571, 0.928571, 295.000000
Pomeroy-2002-v1, 0.833333, 0.833333, 126.000000
Khan-2001_database, 1.000000, 0.937500, 110.000000
Nutt-2003-v2, 0.400000, 0.400000, 94.000000
Alizadeh-2000-v3, 0.916667, 0.916667, 512.000000
Bhattacharjee-2001, 0.925000, 0.850000, 223.000000
Nutt-2003-v3, 1.000000, 1.000000, 58.000000
Gordon-2002, 0.972222, 0.972222, 129.000000
Golub-1999-v2, 0.857143, 0.857143, 316.000000
Nutt-2003-v1, 0.400000, 0.700000, 466.000000
Pomeroy-2002-v2, 0.750000, 0.625000, 354.000000
Garber-2001, 0.384615, 0.692308, 1217.000000
Golub-1999-v1, 0.857143, 0.857143, 314.000000
Dyrskjot-2003, 0.625000, 0.625000, 320.000000
West-2001, 0.777778, 0.555556, 220.000000
Tomlins-2006-v2, 0.888889, 0.833333, 369.000000
Ramaswamy-2001_database, 0.052632, 0.684211, 361.000000
Chen-2002, 0.828571, 0.857143, 9.000000
Liang-2005, 0.142857, 0.857143, 410.000000
Singh-2002, 0.850000, 0.850000, 81.000000
Shipp-2002-v1, 0.933333, 0.800000, 259.000000
Lapointe-2004-v2, 0.090909, 0.818182, 1226.000000
Yeoh-2002-v2, 0.755102, 0.632653, 731.000000
Yeoh-2002-v1, 0.979592, 0.959184, 269.000000
Lapointe-2004-v1, 0.769231, 0.846154, 545.000000
Laiho-2007_database, 0.857143, 0.714286, 277.000000
Tomlins-2006-v1, 0.800000, 0.750000, 645.000000
Su-2001, 0.911765, 0.852941, 347.000000
Risinger-2003, 0.500000, 0.625000, 660.000000
