Data Set, Avg Accuracy, Unoptimized Accuracy, Selected Features
Alizadeh-2000-v1, 0.750000, 0.750000, 106.000000
Alizadeh-2000-v2, 0.916667, 1.000000, 229.000000
Bittner-2000, 0.714286, 0.714286, 982.000000
Alizadeh-2000-v3, 0.833333, 0.833333, 498.000000
Bhattacharjee-2001, 0.950000, 0.875000, 353.000000
Nutt-2003-v2, 0.600000, 0.600000, 88.000000
Golub-1999-v2, 0.785714, 0.857143, 227.000000
Golub-1999-v1, 0.857143, 0.928571, 227.000000
Garber-2001, 0.692308, 0.615385, 1854.000000
Shipp-2002-v1, 0.866667, 0.933333, 200.000000
Su-2001, 0.852941, 0.882353, 381.000000
Chowdary-2006, 0.950000, 0.900000, 11.000000
Liang-2005, 0.714286, 0.714286, 407.000000
Armstrong-2002-v1, 0.857143, 1.000000, 101.000000
Bredel-2005, 0.900000, 0.900000, 665.000000
Armstrong-2002-v2, 0.928571, 0.857143, 248.000000
Pomeroy-2002-v1, 1.000000, 0.833333, 156.000000
Nutt-2003-v3, 1.000000, 1.000000, 79.000000
Nutt-2003-v1, 0.700000, 0.600000, 403.000000
Yeoh-2002-v1, 0.979592, 0.938776, 273.000000
Dyrskjot-2003, 0.625000, 0.500000, 165.000000
Risinger-2003, 0.375000, 0.625000, 489.000000
Chen-2002, 0.000000, 0.857143, 9.000000
Pomeroy-2002-v2, 0.750000, 0.500000, 248.000000
Tomlins-2006-v1, 0.850000, 0.800000, 864.000000
Lapointe-2004-v2, 0.772727, 0.863636, 862.000000
Tomlins-2006-v2, 0.611111, 0.666667, 486.000000
Khan-2001_database, 0.937500, 1.000000, 93.000000
Gordon-2002, 0.888889, 0.944444, 119.000000
Lapointe-2004-v1, 0.000000, 0.846154, 578.000000
Laiho-2007_database, 0.857143, 0.857143, 274.000000
Ramaswamy-2001_database, 0.710526, 0.684211, 608.000000
Singh-2002, 0.900000, 0.950000, 83.000000
West-2001, 0.777778, 0.777778, 457.000000
Yeoh-2002-v2, 0.632653, 0.673469, 987.000000
