Data Set, Avg Accuracy, Unoptimized Accuracy, Selected Features
Alizadeh-2000-v2, 1.000000, 0.833333, 206.000000
Bittner-2000, 0.857143, 0.857143, 567.000000
Bredel-2005, 0.800000, 0.900000, 266.000000
Armstrong-2002-v2, 0.571429, 0.857143, 290.000000
Alizadeh-2000-v3, 1.000000, 0.833333, 477.000000
Nutt-2003-v2, 0.600000, 0.600000, 145.000000
Pomeroy-2002-v1, 0.833333, 0.833333, 224.000000
Bhattacharjee-2001, 0.700000, 0.700000, 268.000000
Garber-2001, 0.846154, 0.692308, 1497.000000
Nutt-2003-v3, 1.000000, 1.000000, 77.000000
Golub-1999-v2, 0.928571, 1.000000, 299.000000
Nutt-2003-v1, 0.500000, 0.700000, 407.000000
Golub-1999-v1, 0.928571, 1.000000, 289.000000
Risinger-2003, 0.375000, 0.500000, 421.000000
Tomlins-2006-v1, 0.850000, 0.900000, 777.000000
Yeoh-2002-v1, 0.979592, 0.836735, 254.000000
Armstrong-2002-v1, 0.928571, 0.928571, 198.000000
Liang-2005, 0.857143, 0.857143, 275.000000
Singh-2002, 0.800000, 0.850000, 87.000000
Alizadeh-2000-v1, 0.625000, 0.625000, 289.000000
Chowdary-2006, 0.950000, 0.950000, 7.000000
Dyrskjot-2003, 0.750000, 0.750000, 214.000000
Pomeroy-2002-v2, 0.625000, 0.625000, 339.000000
Lapointe-2004-v1, 0.769231, 0.769231, 511.000000
Laiho-2007_database, 0.857143, 0.857143, 265.000000
Chen-2002, 0.857143, 0.800000, 14.000000
Khan-2001_database, 0.875000, 0.937500, 116.000000
West-2001, 0.666667, 0.666667, 144.000000
Gordon-2002, 1.000000, 0.944444, 126.000000
Shipp-2002-v1, 0.733333, 0.933333, 326.000000
Ramaswamy-2001_database, 0.631579, 0.631579, 425.000000
Lapointe-2004-v2, 0.909091, 0.954545, 837.000000
Su-2001, 0.882353, 0.970588, 456.000000
