Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v2, 1.000000, 1039.000000
Alizadeh-2000-v1, 0.625000, 544.000000
Armstrong-2002-v1, 0.928571, 538.000000
Chowdary-2006, 0.900000, 81.000000
Bredel-2005, 0.700000, 837.000000
Khan-2001_database, 0.937500, 513.000000
Armstrong-2002-v2, 0.785714, 1063.000000
Chen-2002, 0.942857, 33.000000
Alizadeh-2000-v3, 0.666667, 1034.000000
Pomeroy-2002-v1, 0.833333, 395.000000
Bhattacharjee-2001, 0.850000, 586.000000
Garber-2001, 0.692308, 1960.000000
Liang-2005, 0.714286, 708.000000
Nutt-2003-v3, 0.250000, 565.000000
Gordon-2002, 1.000000, 845.000000
Shipp-2002-v1, 1.000000, 330.000000
Golub-1999-v2, 0.642857, 940.000000
Dyrskjot-2003, 0.625000, 490.000000
Golub-1999-v1, 1.000000, 905.000000
Pomeroy-2002-v2, 1.000000, 634.000000
West-2001, 0.777778, 570.000000
Ramaswamy-2001_database, 0.526316, 480.000000
Tomlins-2006-v1, 0.850000, 785.000000
Su-2001, 0.882353, 605.000000
Bittner-2000, 0.714286, 771.000000
Nutt-2003-v2, 0.800000, 519.000000
Nutt-2003-v1, 0.700000, 620.000000
Tomlins-2006-v2, 0.500000, 602.000000
Lapointe-2004-v1, 0.230769, 613.000000
Risinger-2003, 0.500000, 837.000000
Laiho-2007_database, 0.714286, 1097.000000
Lapointe-2004-v2, 0.090909, 1210.000000
Singh-2002, 0.700000, 149.000000
Yeoh-2002-v2, 0.612245, 845.000000
Yeoh-2002-v1, 0.979592, 1239.000000
